Episode;End_numerical_time_stepepi_time;epi_function_time;epi_evolve_time
0;20.34000015258789;1672714842.6301713;0;0
1;22.340045928955078;2088.983475923538;2084.239123106003;2084.106216430664
2;24.340091705322266;2081.6163840293884;2080.705767393112;2080.67933678627
3;26.340137481689453;2104.5361037254333;2103.6864478588104;2103.6595301628113
4;28.34018325805664;2025.7219774723053;2024.7797119617462;2024.751190662384
5;30.340229034423828;2011.8089590072632;2010.894617319107;2010.8669877052307
6;32.340274810791016;2050.3958373069763;2049.282142162323;2049.253010749817
7;34.3403205871582;2011.2567756175995;2010.2084136009216;2010.1793150901794
8;36.34036636352539;2063.224749326706;2061.155414581299;2061.1274693012238
9;38.34041213989258;2110.4339697360992;2108.344944000244;2108.315413951874
10;40.340457916259766;2118.4823648929596;2117.5264909267426;2117.4968678951263
11;42.34050369262695;1971.023408651352;1970.0270392894745;1969.9846115112305
12;44.34054946899414;1936.7846393585205;1935.7685945034027;1935.7380356788635
13;46.34059524536133;1979.2171194553375;1977.9283015727997;1977.8988344669342
14;48.340641021728516;2049.698921442032;2048.675725698471;2048.6318752765656
