Episode;AvgDrag;AvgLift
1;0.15908930717710784;0.029070928480760976
2;0.1564585230693069;0.0011374033510198008
3;0.15175463287128713;-0.0027963738006019805
4;0.15572877534653462;0.000974978989237623
5;0.147109507029703;-0.0014305902363168325
6;0.14652227782178215;0.001274079089126733
7;0.14967365000000002;-0.010512881959000001
8;0.14699974524752474;-0.003614275114603962
9;0.15068545128712874;-0.01464462260428713
10;0.14986147445544554;-0.0013642869369504954
11;0.1484688905940594;-0.01843141968770297
12;0.1464173511881188;-0.013951988919950496
13;0.1462782588118812;0.007501180696415841
14;0.14644633099009904;-0.0075482460141584155
15;0.14787477425742573;-0.003946273161653465
